year,month,day,dayofyear,weekofyear,dayofweek,quarter,battery,damage,narcotics,theft,other,Latitude,Longitude
2005.0,8.0,6.0,218.0,31.0,5.0,3.0,0,0,0,1,0,41.943599639,-87.65072085700001
2006.0,1.0,2.0,2.0,1.0,0.0,1.0,0,0,1,0,0,41.765619476,-87.578130465
2006.0,6.0,21.0,172.0,25.0,2.0,2.0,0,1,0,0,0,42.014244203000004,-87.676710719
2001.0,7.0,10.0,191.0,28.0,1.0,3.0,1,0,0,0,0,41.712996279,-87.570480394
2014.0,3.0,4.0,63.0,10.0,1.0,1.0,0,0,1,0,0,41.765162688000004,-87.624896894
2019.0,2.0,3.0,34.0,5.0,6.0,1.0,0,0,0,0,1,41.926755059,-87.64236765700001
2006.0,10.0,30.0,303.0,44.0,0.0,4.0,0,0,0,1,0,41.682594894,-87.615681114
2002.0,7.0,16.0,197.0,29.0,1.0,3.0,0,0,0,0,1,41.79384675,-87.68060799999998
2001.0,3.0,20.0,79.0,12.0,1.0,1.0,1,0,0,0,0,41.85283994,-87.70163166299999
2004.0,2.0,8.0,39.0,6.0,6.0,1.0,0,0,0,1,0,41.909614875,-87.747016581
2013.0,8.0,2.0,214.0,31.0,4.0,3.0,0,0,0,1,0,41.976290414,-87.905227221
2003.0,4.0,23.0,113.0,17.0,2.0,2.0,0,1,0,0,0,41.732618896999995,-87.576824539
2017.0,1.0,25.0,25.0,4.0,2.0,1.0,0,0,0,1,0,41.952687266,-87.653756067
2008.0,5.0,21.0,142.0,21.0,2.0,2.0,1,0,0,0,0,41.896995164,-87.650839064
2014.0,8.0,21.0,233.0,34.0,3.0,3.0,0,1,0,0,0,41.775015522,-87.683530209
2016.0,10.0,5.0,279.0,40.0,2.0,4.0,1,0,0,0,0,41.69203308,-87.62104263799999
2008.0,8.0,1.0,214.0,31.0,4.0,3.0,1,0,0,0,0,41.917486084000004,-87.69764729200001
2007.0,9.0,15.0,258.0,37.0,5.0,3.0,0,1,0,0,0,41.774335808000004,-87.64183941299999
2014.0,12.0,9.0,343.0,50.0,1.0,4.0,0,0,0,0,1,41.967683148,-87.67617420299999
2008.0,3.0,1.0,61.0,9.0,5.0,1.0,0,1,0,0,0,41.988216046,-87.66020891
2010.0,11.0,19.0,323.0,46.0,4.0,4.0,0,0,0,1,0,41.9764212,-87.904976266
2007.0,11.0,14.0,318.0,46.0,2.0,4.0,1,0,0,0,0,41.871025414,-87.699510379
2004.0,3.0,15.0,75.0,12.0,0.0,1.0,1,0,0,0,0,41.752587391,-87.60890636799999
2007.0,5.0,7.0,127.0,19.0,0.0,2.0,1,0,0,0,0,41.734563414,-87.569591404
2017.0,11.0,27.0,331.0,48.0,0.0,4.0,0,0,0,0,1,41.766512506,-87.63469486
2011.0,10.0,18.0,291.0,42.0,1.0,4.0,0,0,0,1,0,41.914339846,-87.736248761
2007.0,6.0,5.0,156.0,23.0,1.0,2.0,0,0,0,1,0,41.78189925,-87.6837137
2011.0,12.0,26.0,360.0,52.0,0.0,4.0,0,0,0,0,1,41.886337106,-87.712348514
2011.0,3.0,15.0,74.0,11.0,1.0,1.0,1,0,0,0,0,41.785999075,-87.651023882
2002.0,1.0,26.0,26.0,4.0,5.0,1.0,0,0,1,0,0,41.951902615,-87.649628667
2008.0,3.0,19.0,79.0,12.0,2.0,1.0,0,0,0,1,0,41.735871841999995,-87.65755244700001
2014.0,8.0,6.0,218.0,32.0,2.0,3.0,1,0,0,0,0,41.939943264,-87.651924995
