day,dayofweek,dayofyear,hour,month,quarter,week,weekday,weekofyear,year,battery,damage,narcotics,theft,other,burglary,Latitude,Longitude
0.0,6.0,11.0,0,3.0,1.0,11,6,11.0,2018.0,0,0,1,0,0,0.0,41.872770124,-87.73520752299999
0.0,2.0,15.0,0,4.0,2.0,15,2,15.0,2018.0,0,0,0,1,0,0.0,41.685153508,-87.72010785100002
0.0,2.0,52.0,0,12.0,4.0,52,2,52.0,2018.0,0,0,0,1,0,0.0,41.897895128,-87.624096605
0.0,3.0,27.0,0,7.0,3.0,27,3,27.0,2018.0,0,0,0,1,0,0.0,41.940509456,-87.67656356100002
0.0,4.0,12.0,0,3.0,1.0,12,4,12.0,2018.0,0,0,0,1,0,0.0,41.780162052,-87.619866539
0.0,5.0,26.0,0,6.0,2.0,26,5,26.0,2018.0,0,0,0,0,1,0.0,41.946167141,-87.662643751
0.0,6.0,25.0,0,6.0,2.0,25,6,25.0,2018.0,0,0,0,1,0,0.0,41.890053025,-87.62870440200001
0.0,6.0,13.0,0,4.0,2.0,13,6,13.0,2018.0,1,0,0,0,0,0.0,41.788786066,-87.622315729
0.0,5.0,3.0,0,1.0,1.0,3,5,3.0,2018.0,0,0,0,1,0,0.0,41.917402098000004,-87.63545446299999
0.0,6.0,24.0,0,6.0,2.0,24,6,24.0,2018.0,0,0,0,0,0,1.0,41.745569893,-87.69739654
0.0,6.0,12.0,0,3.0,1.0,12,6,12.0,2018.0,0,1,0,0,0,0.0,41.859087169,-87.65890711
0.0,4.0,24.0,0,6.0,2.0,24,4,24.0,2018.0,1,0,0,0,0,0.0,41.768010786,-87.573293045
0.0,0.0,35.0,0,8.0,3.0,35,0,35.0,2018.0,0,0,0,0,0,1.0,41.921495318000005,-87.703108175
0.0,3.0,7.0,0,2.0,1.0,7,3,7.0,2018.0,0,0,0,1,0,0.0,41.72616995,-87.651851444
0.0,5.0,10.0,0,3.0,1.0,10,5,10.0,2018.0,1,0,0,0,0,0.0,41.878167778000005,-87.629161789
0.0,1.0,22.0,0,5.0,2.0,22,1,22.0,2018.0,0,1,0,0,0,0.0,41.892461897,-87.628611816
0.0,2.0,50.0,0,12.0,4.0,50,2,50.0,2018.0,0,0,0,0,1,0.0,41.758499528,-87.559386124
0.0,4.0,10.0,0,3.0,1.0,10,4,10.0,2018.0,1,0,0,0,0,0.0,41.760644908,-87.67221024
0.0,4.0,29.0,0,7.0,3.0,29,4,29.0,2018.0,0,0,0,0,0,1.0,41.762114288,-87.56765569
0.0,4.0,29.0,0,7.0,3.0,29,4,29.0,2018.0,0,0,1,0,0,0.0,41.865288731999996,-87.728812193
0.0,6.0,41.0,0,10.0,4.0,41,6,41.0,2018.0,1,0,0,0,0,0.0,41.884377535,-87.751077631
0.0,2.0,6.0,0,2.0,1.0,6,2,6.0,2018.0,0,0,1,0,0,0.0,41.721627204,-87.62448517700001
0.0,6.0,48.0,0,12.0,4.0,48,6,48.0,2018.0,0,0,0,1,0,0.0,41.890794868,-87.633338542
0.0,3.0,46.0,0,11.0,4.0,46,3,46.0,2018.0,0,1,0,0,0,0.0,41.773242511,-87.665313475
0.0,5.0,6.0,0,2.0,1.0,6,5,6.0,2018.0,1,0,0,0,0,0.0,41.694904684,-87.65756770600002
0.0,5.0,11.0,0,3.0,1.0,11,5,11.0,2018.0,0,0,0,1,0,0.0,41.895383688,-87.72442576200001
0.0,4.0,2.0,0,1.0,1.0,2,4,2.0,2018.0,0,1,0,0,0,0.0,41.839974557,-87.72808168200001
0.0,6.0,42.0,0,10.0,4.0,42,6,42.0,2018.0,0,1,0,0,0,0.0,41.910495532,-87.73001702200001
0.0,6.0,22.0,0,6.0,2.0,22,6,22.0,2018.0,0,0,0,1,0,0.0,41.735299884,-87.695768531
0.0,4.0,47.0,0,11.0,4.0,47,4,47.0,2018.0,1,0,0,0,0,0.0,41.881515355,-87.627755316
0.0,2.0,31.0,0,8.0,3.0,31,2,31.0,2018.0,0,1,0,0,0,0.0,41.830606764,-87.61932865899998
0.0,0.0,22.0,0,5.0,2.0,22,0,22.0,2018.0,0,0,0,1,0,0.0,41.964146512,-87.72302136299999
0.0,4.0,27.0,0,7.0,3.0,27,4,27.0,2018.0,1,0,0,0,0,0.0,41.866428839,-87.703509785
0.0,5.0,6.0,0,2.0,1.0,6,5,6.0,2018.0,0,1,0,0,0,0.0,41.790915092,-87.59482644399998
0.0,6.0,7.0,0,2.0,1.0,7,6,7.0,2018.0,0,0,0,1,0,0.0,41.889668393,-87.680154935
0.0,4.0,45.0,0,11.0,4.0,45,4,45.0,2018.0,0,0,1,0,0,0.0,41.881890898,-87.73869184600002
0.0,4.0,34.0,0,8.0,3.0,34,4,34.0,2018.0,0,1,0,0,0,0.0,41.885487535,-87.726422045
0.0,6.0,36.0,0,9.0,3.0,36,6,36.0,2018.0,1,0,0,0,0,0.0,41.940831539,-87.64442472299999
0.0,1.0,18.0,0,5.0,2.0,18,1,18.0,2018.0,0,0,0,1,0,0.0,41.718760886,-87.652878415
0.0,4.0,27.0,0,7.0,3.0,27,4,27.0,2018.0,1,0,0,0,0,0.0,41.763844538,-87.617228612
0.0,0.0,31.0,0,7.0,3.0,31,0,31.0,2018.0,0,1,0,0,0,0.0,41.77335656,-87.66652207
0.0,2.0,45.0,0,11.0,4.0,45,2,45.0,2018.0,0,0,0,1,0,0.0,41.925098106,-87.672293669
0.0,5.0,51.0,0,12.0,4.0,51,5,51.0,2018.0,0,0,0,1,0,0.0,41.88033698,-87.62936564299999
0.0,4.0,49.0,0,12.0,4.0,49,4,49.0,2018.0,1,0,0,0,0,0.0,41.864822916,-87.656618405
0.0,6.0,3.0,0,1.0,1.0,3,6,3.0,2018.0,0,1,0,0,0,0.0,41.914087383,-87.728906701
0.0,1.0,43.0,0,10.0,4.0,43,1,43.0,2018.0,0,0,0,0,1,0.0,41.721005667,-87.64320268600002
0.0,3.0,7.0,0,2.0,1.0,7,3,7.0,2018.0,1,0,0,0,0,0.0,42.01022826,-87.67267506299999
0.0,3.0,22.0,0,5.0,2.0,22,3,22.0,2018.0,0,0,0,1,0,0.0,41.996460782,-87.68862149200001
0.0,0.0,30.0,0,7.0,3.0,30,0,30.0,2018.0,0,0,0,1,0,0.0,41.88336939,-87.633860272
0.0,5.0,23.0,0,6.0,2.0,23,5,23.0,2018.0,1,0,0,0,0,0.0,41.945910991,-87.655474824
0.0,2.0,3.0,0,1.0,1.0,3,2,3.0,2018.0,1,0,0,0,0,0.0,41.993091736,-87.73858857299999
0.0,6.0,16.0,0,4.0,2.0,16,6,16.0,2018.0,0,0,0,1,0,0.0,41.894484615,-87.713845278
0.0,3.0,15.0,0,4.0,2.0,15,3,15.0,2018.0,0,0,0,1,0,0.0,41.88633462,-87.71239628
0.0,4.0,40.0,0,10.0,4.0,40,4,40.0,2018.0,0,0,0,1,0,0.0,41.767669235999996,-87.571445917
0.0,0.0,45.0,0,11.0,4.0,45,0,45.0,2018.0,0,0,0,1,0,0.0,41.987358571,-87.662332936
0.0,5.0,36.0,0,9.0,3.0,36,5,36.0,2018.0,1,0,0,0,0,0.0,41.789167133,-87.69367296
0.0,4.0,43.0,0,10.0,4.0,43,4,43.0,2018.0,0,0,0,1,0,0.0,41.909760125,-87.63466702
0.0,3.0,31.0,0,8.0,3.0,31,3,31.0,2018.0,0,0,0,1,0,0.0,41.671702032,-87.624875795
0.0,0.0,18.0,0,4.0,2.0,18,0,18.0,2018.0,0,0,1,0,0,0.0,41.880966488,-87.706767448
0.0,0.0,36.0,0,9.0,3.0,36,0,36.0,2018.0,0,0,0,1,0,0.0,41.759722788000005,-87.574919245
0.0,4.0,42.0,0,10.0,4.0,42,4,42.0,2018.0,0,1,0,0,0,0.0,41.85270261,-87.716249049
0.0,6.0,48.0,0,12.0,4.0,48,6,48.0,2018.0,0,0,0,1,0,0.0,41.906276004,-87.670011875
0.0,5.0,30.0,0,7.0,3.0,30,5,30.0,2018.0,1,0,0,0,0,0.0,41.885272504,-87.722098003
0.0,0.0,25.0,0,6.0,2.0,25,0,25.0,2018.0,0,0,0,0,0,1.0,41.953606977,-87.65289707
0.0,6.0,45.0,0,11.0,4.0,45,6,45.0,2018.0,0,0,0,1,0,0.0,41.932088625,-87.643537568
0.0,1.0,31.0,0,7.0,3.0,31,1,31.0,2018.0,0,0,0,1,0,0.0,41.706118407,-87.606806154
0.0,2.0,29.0,0,7.0,3.0,29,2,29.0,2018.0,0,0,0,1,0,0.0,41.736259984,-87.62806878200001
0.0,2.0,52.0,0,12.0,4.0,52,2,52.0,2018.0,0,0,0,1,0,0.0,41.883475491,-87.627876969
0.0,4.0,11.0,0,3.0,1.0,11,4,11.0,2018.0,0,0,0,1,0,0.0,41.848933752,-87.63193058600002
0.0,2.0,25.0,0,6.0,2.0,25,2,25.0,2018.0,0,0,0,1,0,0.0,41.958782045,-87.65466561299999
